x_vals,alpha
-1100,998.539
-1063.51,998.539
-1027.03,998.538
-990.541,998.538
-954.054,998.537
-917.568,998.536
-881.081,998.535
-844.595,998.533
-808.108,998.53
-771.622,998.525
-735.135,998.518
-698.649,998.508
-662.162,998.493
-625.676,998.47
-589.189,998.436
-552.703,998.385
-516.216,998.31
-479.73,998.198
-443.243,998.032
-406.757,997.783
-370.27,997.415
-333.784,996.867
-297.297,996.05
-260.811,994.848
-224.324,993.056
-187.838,990.411
-151.351,986.475
-114.865,980.692
-78.3784,972.238
-41.8919,959.858
-5.40541,942.325
31.0811,909.332
67.5676,866.687
104.054,812.725
140.541,747.016
177.027,670.92
213.514,587.035
250,499.268
286.486,411.497
322.973,327.621
359.459,251.536
395.946,185.841
432.432,131.889
468.919,89.2491
505.405,56.2535
541.892,38.7159
578.378,26.3332
614.865,17.8777
651.351,12.0957
687.838,8.16021
724.324,5.51623
760.811,3.72597
797.297,2.52511
833.784,1.70854
870.27,1.16128
906.757,0.794429
943.243,0.546066
979.73,0.38018
1016.22,0.268372
1052.7,0.193167
1089.19,0.142805
1125.68,0.108846
1162.16,0.0860922
1198.65,0.0706956
1235.14,0.0603859
1271.62,0.053504
1308.11,0.0488694
1344.59,0.0458291
1381.08,0.043704
1417.57,0.042289
1454.05,0.0414214
1490.54,0.0407352
1527.03,0.0403114
1563.51,0.0400227
1600,0.0398229