x_vals,neff
-1100,2.60067
-1063.51,2.60067
-1027.03,2.60067
-990.541,2.60067
-954.054,2.60067
-917.568,2.60067
-881.081,2.60067
-844.595,2.60067
-808.108,2.60067
-771.622,2.60067
-735.135,2.60067
-698.649,2.60067
-662.162,2.60067
-625.676,2.60067
-589.189,2.60067
-552.703,2.60067
-516.216,2.60066
-479.73,2.60066
-443.243,2.60066
-406.757,2.60066
-370.27,2.60066
-333.784,2.60065
-297.297,2.60065
-260.811,2.60063
-224.324,2.60062
-187.838,2.6006
-151.351,2.60056
-114.865,2.60051
-78.3784,2.60043
-41.8919,2.60031
-5.40541,2.60014
31.0811,2.5998
67.5676,2.59936
104.054,2.59881
140.541,2.59813
177.027,2.59736
213.514,2.59651
250,2.59563
286.486,2.59475
322.973,2.59391
359.459,2.59316
395.946,2.59252
432.432,2.59199
468.919,2.59157
505.405,2.59125
541.892,2.59108
578.378,2.59095
614.865,2.59086
651.351,2.5908
687.838,2.59075
724.324,2.59072
760.811,2.5907
797.297,2.59069
833.784,2.59068
870.27,2.59068
906.757,2.59067
943.243,2.59067
979.73,2.59067
1016.22,2.59067
1052.7,2.59066
1089.19,2.59066
1125.68,2.59066
1162.16,2.59066
1198.65,2.59066
1235.14,2.59066
1271.62,2.59066
1308.11,2.59066
1344.59,2.59066
1381.08,2.59066
1417.57,2.59066
1454.05,2.59066
1490.54,2.59066
1527.03,2.59066
1563.51,2.59066
1600,2.59066